Soil_Type,Soil_pH,Soil_Moisture,Organic_Carbon,Electrical_Conductivity,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Temperature,Humidity,Rainfall,Crop_Type,Crop_Growth_Stage,Season,Irrigation_Type,Previous_Crop,Region,Fertilizer_Used_Last_Season,Yield_Last_Season,Recommended_Fertilizer
Clay,6.07,34.98,0.32,1.87,61,44,84,19.84,83.31,1693.22,Cotton,Harvest,Kharif,Canal,Wheat,South,297.15,1.19,MOP
Silt,6.39,47.34,0.28,0.21,59,56,18,24.4,46.27,1030.21,Maize,Vegetative,Kharif,Sprinkler,Potato,Central,77.17,4.4,Urea
Sandy,7.92,38.13,0.99,1.88,43,21,119,24.82,71.86,1166.16,Cotton,Flowering,Kharif,Rainfed,Tomato,South,128.93,7.21,Urea
Clay,5.86,14.17,1.46,0.36,88,46,34,27.87,53.23,2881.83,Wheat,Flowering,Zaid,Sprinkler,Potato,West,233.96,1.85,MOP
Clay,7.98,19.28,0.85,2.16,104,53,98,24.17,51.87,714.84,Potato,Sowing,Kharif,Rainfed,Maize,East,214.39,7.36,Zinc Sulphate
Silt,4.85,20.97,0.27,1.23,48,31,87,29.46,52.03,2682.91,Rice,Harvest,Zaid,Sprinkler,Tomato,North,70.22,7.65,Urea
Sandy,7.61,22.89,0.49,2.53,56,20,40,36.52,68.36,2263.05,Maize,Sowing,Zaid,Canal,Potato,North,64.7,5.64,Urea
Sandy,7.89,38.27,0.52,2.83,39,64,22,21.94,62.28,1917.67,Wheat,Harvest,Rabi,Sprinkler,Sugarcane,East,153.69,1.44,Urea
Clay,5.23,35.2,0.64,1.31,23,19,74,36.3,75.3,1947.46,Cotton,Vegetative,Zaid,Drip,Tomato,West,174.2,3.35,Urea
Loamy,6.22,20.16,0.26,1.44,158,51,39,16.59,39.18,1384.23,Rice,Harvest,Rabi,Sprinkler,Tomato,West,193.07,7.04,MOP
Clay,5.16,13.38,1.38,1.81,105,89,82,13.64,55.53,1428.78,Maize,Harvest,Kharif,Rainfed,Cotton,North,209.64,6.04,Compost
Clay,7.33,18.57,0.87,0.67,71,85,113,17.18,81.62,2429.03,Potato,Vegetative,Rabi,Rainfed,Tomato,West,170.47,4.44,NPK
Clay,6.64,59.22,1.07,2.79,62,64,38,16.2,30.19,2470.42,Wheat,Harvest,Zaid,Rainfed,Tomato,North,229.51,2.13,MOP
